sourceid,destid,distance,duration,duration_in_traffic
3,156,25946,3369,5791
3,154,28242,3718,6299
3,162,25818,3330,5433
3,163,25857,3291,5555
3,164,27118,3498,5893
3,161,25806,3292,5367
3,165,27388,3590,6321
3,166,28886,3830,6682
3,167,29085,3909,6841
3,180,29133,3903,6749
3,181,29442,3909,6690
3,182,27493,3723,6439
3,146,23912,3882,7113
3,147,23689,3795,7486
3,148,24536,4026,7688
3,151,26227,4164,8058
3,152,27079,4039,8370
3,178,30509,4112,7255
3,173,26953,4453,8903
3,176,27281,4563,9018
3,168,30803,4189,7423
3,169,24865,3999,7599
3,179,29539,3941,7031
3,149,38767,5096,9113
3,150,33212,4213,7731
3,82,29984,3813,6539
3,83,35831,4654,7219
3,84,35318,4418,7913
3,85,29973,3579,6780
3,174,39590,4561,9022
3,175,35749,5040,9335
3,186,30447,4241,7345
3,187,32230,4497,8119
3,188,33974,4786,8769
3,189,28183,4835,10430
3,190,29078,4756,10313
3,191,60982,5544,7658
3,193,53265,5157,7129
3,184,30037,4215,7006
3,185,29817,4021,6949
3,192,56900,5475,7490
3,194,50938,4797,6489
3,195,32204,4473,8116
3,196,52803,5098,6942
3,1,8209,1341,2309
3,52,25745,3316,5902
3,129,20907,2796,5038
3,170,27527,4178,8496
3,171,27540,4077,8552
3,183,26293,3397,6025
3,197,31718,4348,7421
3,177,32203,4420,7948
3,172,28235,4194,9388
3,26,22557,2769,5026
3,25,19460,2474,4224
3,86,32338,3780,7212
3,198,29721,3760,6485
4,2,4525,708,1082
4,3,4210,728,1079
4,51,18165,2292,4069
4,53,25604,3251,5800
4,54,22055,2818,5099
4,55,21591,2596,4441
4,56,20933,2626,4600
4,81,23109,3124,5510
4,87,29495,3470,6667
4,10,9201,1299,2021
4,11,7734,1121,1598
4,5,6392,1059,1772
4,6,9229,1384,2007
4,7,6392,1000,1559
4,8,8167,1294,2234
4,9,7328,992,1386
4,130,26158,3494,6336
4,159,29203,3914,7133
4,40,18910,3131,5259
4,72,23039,3289,5764
4,16,11008,1610,2494
4,160,28845,3669,6444
4,17,12863,1956,3147
4,37,13024,1967,3173
4,38,14097,2078,3740
4,42,14604,2115,3934
4,69,16773,2388,4316
4,73,19736,2702,4935
4,12,11278,1836,2624
4,13,13581,1910,2963
4,14,15259,2257,3497
4,15,13290,1992,3195
4,39,14745,2308,4013
4,41,15664,2469,4610
4,70,18320,2750,4843
4,71,18881,3117,5801
4,102,20399,2963,5057
4,43,15746,2349,4320
4,44,14567,2358,3917
4,67,16686,2586,4405
4,68,15750,2581,4399
4,74,18405,2653,4762
4,75,17492,2532,4560
4,35,12509,1799,3537
4,36,12549,1918,3049
4,45,15127,2441,3882
4,64,13491,2079,4142
4,65,14867,2157,4425
4,66,16607,2110,4278
4,76,16372,2442,4949
4,18,11048,1530,2823
4,19,10842,1652,3045
4,20,10662,1517,2896
4,21,9667,1613,3025
4,22,10257,1718,3276
4,33,10944,1690,3173
4,34,12419,1496,2870
4,46,12568,1859,3473
4,31,13671,2157,3698
4,32,12178,1735,3094
4,47,13656,2055,3667
4,48,13907,2234,3780
4,60,16628,2136,3769
4,61,14800,2233,4389
4,78,16309,2337,4578
4,23,11499,1620,2853
4,24,12184,1439,2626
4,27,15880,2037,3572
4,28,15643,2090,3853
4,29,14159,1831,3224
4,30,14377,2206,3863
4,49,15338,1978,3506
4,59,17414,2330,4082
4,113,24273,3442,6574
4,50,17757,2429,4083
4,57,20724,2729,4788
4,58,22336,2919,5485
4,79,18658,2499,4286
4,80,21213,2845,4979
4,88,22471,3114,5822
4,110,18044,2694,5592
4,62,13656,2009,3849
4,63,14578,2045,4214
4,90,20159,2679,4620
4,91,16553,2517,4912
4,92,16564,2151,4168
4,93,16088,1843,4138
4,111,18229,2635,5681
4,112,22799,3157,5531
4,114,25021,3361,6415
4,115,21863,2977,6536
4,116,21590,3273,6940
4,117,19260,2847,5960
4,89,20958,2887,4903
4,109,17483,2536,5242
4,120,18373,2708,5743
4,121,18896,2885,5805
4,77,14998,2190,4270
4,94,15970,2345,4992
4,95,18373,2602,5035
4,96,19065,3039,5304
4,100,18960,2998,5003
4,101,20849,2924,5283
4,107,18474,2760,4698
4,108,19344,2920,4998
4,97,16676,2570,5071
4,98,18209,2504,4839
4,99,17935,2695,4555
4,103,20616,2920,5053
4,104,21605,3033,5470
4,105,21459,2966,5379
4,106,20363,3031,5382
4,125,22245,3052,5379
4,126,22780,3085,5500
4,127,21864,2901,5148
4,128,22766,2835,5016
4,131,24027,3078,5321
4,122,19134,2909,5864
4,123,20169,3000,5327
4,124,20857,3142,5535
4,132,23918,3061,5372
4,133,22226,3404,5975
4,134,21861,3391,5877
4,157,26976,3362,5888
4,158,26201,3212,5506
4,135,21396,3277,5855
4,136,21474,3032,6377
4,137,20231,3045,5999
4,138,20756,2808,5606
4,139,19621,2838,5582
4,140,22956,3724,6509
4,141,21710,3115,6480
4,118,18434,2777,5855
