sourceid,destid,distance,duration,fare
3,150,34067,8591,109
3,82,28911,7873,102
3,83,33730,8589,106
3,84,38159,9098,109
3,85,30265,7667,97
3,174,33333,7936,44
3,175,33674,7971,64
3,186,30873,6314,62
3,187,31580,6783,70
3,188,31504,8000,57
3,189,34088,7790,66
3,190,34750,7896,44
3,191,37747,8942,45
3,193,35766,7325,74
3,184,35881,7342,75
3,185,32212,6389,65
3,192,37521,8922,67
3,194,37794,7560,85
3,195,33458,6749,72
3,196,35382,7738,44
3,1,8994,2789,17
3,52,27819,7333,89
3,129,26438,5791,24
3,170,29388,6482,42
3,171,28334,6518,47
3,183,28246,6903,40
3,197,33518,6630,65
3,177,30441,7095,52
3,172,27479,6833,54
3,26,25849,7318,42
3,25,21933,6584,46
3,86,35268,8051,57
3,198,33184,8545,60
4,2,5498,2186,15
4,3,4105,1666,10
4,51,18586,5119,32
4,53,24694,7046,42
4,54,26257,7074,43
4,55,23225,6525,42
4,56,23163,5679,39
4,81,24481,7005,92
4,87,23449,6129,85
4,10,9332,2282,19
4,11,7234,2292,15
4,5,7071,2158,15
4,6,9378,3127,25
4,7,5499,2692,15
4,8,7022,3011,15
4,9,7641,2860,15
4,130,27997,6784,29
4,159,31229,6934,25
4,40,25224,6296,38
4,72,21445,5406,39
4,16,12245,3454,24
4,160,32945,7358,43
4,17,12350,3320,20
4,37,13424,3595,20
4,38,15267,4315,30
4,42,15974,4151,35
4,69,16816,4543,30
4,73,22361,5016,23
4,12,12431,3996,27
4,13,12999,3944,20
4,14,16040,4737,30
4,15,13273,3664,20
4,39,14476,4003,20
4,41,15485,3526,22
4,70,18102,4408,22
4,71,18600,4288,22
4,102,22642,5852,37
4,43,16628,4386,35
4,44,17371,4729,30
4,67,19211,4275,27
4,68,20141,5027,27
4,74,21203,5279,37
4,75,23146,5702,37
4,36,12802,3152,20
4,45,14905,4037,25
4,64,17043,4409,22
4,65,16145,3724,22
4,66,17173,4389,32
4,76,17530,4315,27
4,18,12597,3794,24
4,19,9582,3585,17
4,20,9199,2737,17
4,21,8865,3004,17
4,22,9455,3472,17
4,33,10100,3386,25
4,34,10556,3102,19
4,46,10605,3360,25
4,31,17884,4121,22
4,32,12208,4103,30
4,47,13150,4425,27
4,48,18405,4384,22
4,60,19032,4409,23
4,61,19434,4800,22
4,78,20183,5022,32
4,23,16224,3875,22
4,24,13262,3804,29
4,27,16069,4917,30
4,28,22116,5138,53
4,29,14910,4797,29
4,30,17774,4037,22
4,49,15739,4806,39
4,59,18403,4993,47
4,113,28694,6587,42
4,50,21209,6349,49
4,57,23093,6801,90
4,58,22432,6439,90
4,79,16538,5278,70
4,80,18711,5025,75
4,88,26430,6441,41
4,110,17099,4731,22
4,62,12698,3901,30
4,63,13424,4081,60
4,90,16402,5115,70
4,91,14799,4711,70
4,92,14874,4342,32
4,93,13592,3885,20
4,111,20153,5156,32
4,112,23159,5114,87
4,114,22476,6617,85
4,115,24257,5804,39
4,116,22610,5834,51
4,117,21430,5493,49
4,89,17924,5129,75
4,109,15651,4350,20
4,120,22698,5135,33
4,121,21489,5036,32
4,77,17512,3972,22
4,94,15089,3861,20
4,95,19327,4772,22
4,96,21940,5019,28
4,100,21084,5290,32
4,101,21826,5594,37
4,107,20970,4655,28
4,108,21002,5019,37
4,97,17763,4602,22
4,98,18220,4794,27
4,99,20427,4615,28
4,103,24317,5927,28
4,104,22789,5197,28
4,105,24938,5537,38
4,106,21806,4996,28
4,125,23964,5593,28
4,126,25778,5926,41
4,127,24827,5754,29
4,128,26328,5944,29
4,131,27589,6835,29
4,122,21758,5051,32
4,123,21452,5023,28
4,124,21885,5388,28
4,132,24289,5673,29
4,133,23806,5649,28
4,134,25202,5877,38
4,157,25370,5622,38
4,158,27734,6517,40
